시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
시점,남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명)
2016.07,76021,78180,62439,63015,112517,119725,147641,149977,175843,183274,179090,178563,205937,206999,222784,232940,161829,167245,172118,177634,278789,293487,241170,253823,153452,162369,184598,199924,238365,243344,288546,302559,209723,211455,119822,115322,188238,188099,196961,204962,257964,252312,214254,231705,273382,297500,319792,335844,224188,225953
2016.08,75881,78080,62529,63113,112343,119514,147685,150020,175731,183188,178763,178264,205717,206672,222190,232418,161748,167172,171889,177526,278279,293204,240815,253613,153125,162161,184166,199577,238234,243364,288914,303046,209227,211062,119606,115134,187652,187583,196955,204993,257727,251998,214156,231745,273173,297248,319547,335762,223384,225218
2016.09,75744,78049,62517,63118,112231,119297,147613,150002,175660,183084,178553,178138,205634,206589,221693,231991,161587,167052,171790,177444,277944,292870,240579,253459,152946,162034,183865,199159,238028,243183,289375,303647,208911,210867,119414,114978,187010,186943,197045,205184,257459,251702,214471,232163,272872,297089,319578,335849,222989,224892
2016.1,75631,77950,62490,63220,111941,119074,147234,149721,175418,182844,178340,177946,205482,206506,221238,231601,161345,166746,171735,177458,277500,292492,240208,253141,152812,161966,183304,198644,237599,242740,289776,304200,208536,210556,119197,114805,186426,186408,196988,205226,257025,251422,214841,232639,272754,296857,319981,336507,222206,224115
2016.11,75450,77782,62370,63202,111776,118817,147340,149870,175091,182635,177996,177804,205299,206360,220699,231082,161071,166502,171522,177294,276974,291984,239804,252784,152635,161752,182821,198196,236911,242086,290282,304791,208170,210310,119073,114638,185855,185941,196702,205109,256604,251093,214868,232697,272250,296166,320511,337051,221731,223582
2016.12,75201,77536,62204,63045,111601,118640,148326,150933,174797,182418,177640,177429,204900,206105,219951,230404,160861,166334,171238,176982,276333,291248,239183,252293,152510,161684,182162,197730,236290,241449,290478,305007,207667,209884,119885,115501,185200,185413,196267,204730,256143,250708,214673,232519,271604,295511,320557,337274,221118,223050
2017.01,75034,77371,62087,62889,111436,118561,149152,151888,174759,182544,177406,177231,204709,206022,219657,230051,160672,166286,170992,176865,275994,290808,239031,252133,152578,161877,181797,197567,236118,241287,290728,305381,207584,209812,120257,115867,184827,185212,195964,204688,256064,250806,214637,232505,271492,295585,321187,337970,221583,223527
2017.02,75035,77363,61930,62784,111386,118409,149857,152755,174763,182634,177233,177170,204560,205857,219636,230369,160389,166145,170722,176636,275311,290381,238778,251903,152733,162241,181482,197492,235725,240989,290981,305585,207261,209505,120351,115951,184278,184786,195806,204782,256019,251114,214593,232506,271193,295397,321750,338926,223067,224893
2017.03,75611,77978,61656,62656,111167,118289,150076,153304,174599,182612,177021,177058,204265,205617,219545,230228,160353,166333,170289,176340,275211,290354,238337,251606,152613,162369,181346,197220,235278,240671,291249,305999,207114,209373,120334,116019,183705,184367,195775,204681,256090,251113,214036,231958,270726,294824,321676,338908,223488,225531
2017.04,75736,78201,61466,62606,110943,118119,150118,153458,174539,182722,176987,176911,204179,205561,219321,229959,160317,166396,170049,176112,274954,290122,238164,251577,152553,162357,181087,197279,235072,240473,291556,306380,206855,209241,120316,116089,183676,184361,195518,204583,255861,251044,213674,231800,270409,294476,321436,338879,223581,225672
